timestamp,queue,policy,payload_size,capacity,producers,consumers,push_ops,pop_ops,warmup_ops,throughput,push_avg_ns,push_p50_ns,push_p95_ns,push_p999_ns,push_min_ns,push_max_ns,pop_avg_ns,pop_p50_ns,pop_p95_ns,pop_p999_ns,pop_min_ns,pop_max_ns
2026-05-02 18:42:39,Mutex,Baseline,16,1024,4,1,100000,100000,200000,80165.1,67906.1,98,269082,3467804,0,11940643,197.352,98,294,20758,0,651358
2026-05-02 18:42:39,MPSC,Try,16,1024,8,1,100000,100000,200000,1.37552e+07,920.287,392,3231,17527,0,411848,100.54,98,196,490,0,26634
2026-05-02 18:42:39,MPSC,Blocking,16,1024,8,1,100000,100000,200000,1.93518e+07,686.473,587,1468,14198,0,249595,55.1871,97,98,294,0,15863
2026-05-02 18:42:39,Mutex,Baseline,16,1024,8,1,100000,100000,200000,41870.2,304231,174619,836267,4761995,0,14445030,176.496,98,294,8912,0,643825
2026-05-02 18:42:39,MPSC,Try,16,1024,2,1,1000000,1000000,200000,1.97843e+07,150.198,98,392,2056,0,699256,74.6496,98,196,196,0,168644
2026-05-02 18:42:39,MPSC,Blocking,16,1024,2,1,1000000,1000000,200000,2.52651e+07,135.723,98,196,392,0,74822,55.3321,98,98,196,0,73647
2026-05-02 18:42:39,Mutex,Baseline,16,1024,2,1,1000000,1000000,200000,157329,18651.4,98,96745,169403,0,864301,172.224,98,392,14402,0,743797
2026-05-02 18:42:39,MPSC,Try,16,1024,4,1,1000000,1000000,200000,1.64249e+07,444.839,294,1273,4014,0,784637,96.8138,98,196,294,0,50527
2026-05-02 18:42:39,MPSC,Blocking,16,1024,4,1,1000000,1000000,200000,2.41532e+07,296.661,293,587,1273,0,284459,58.9179,98,98,196,0,36818
2026-05-02 18:42:39,Mutex,Baseline,16,1024,4,1,1000000,1000000,200000,80183.8,67527,98,241411,2771483,0,20388091,182.368,98,294,20269,0,637039
2026-05-02 18:42:39,MPSC,Try,16,1024,8,1,1000000,1000000,200000,1.43777e+07,998.979,490,3527,15872,0,254040,105.644,98,196,490,0,152247
2026-05-02 18:42:39,MPSC,Blocking,16,1024,8,1,1000000,1000000,200000,2.04799e+07,687.866,588,1470,12834,0,772504,57.8469,98,98,294,0,438030
2026-05-02 18:42:39,Mutex,Baseline,16,1024,8,1,1000000,1000000,200000,42920.8,299684,256104,873105,4325097,0,25959130,165.727,98,294,8523,0,386603
2026-05-02 18:42:39,MPSC,Try,16,1024,2,1,5000000,5000000,200000,2.04949e+07,153.939,98,392,1959,0,750300,71.7638,98,195,196,0,256499
2026-05-02 18:42:39,MPSC,Blocking,16,1024,2,1,5000000,5000000,200000,2.56607e+07,127.893,98,196,392,0,271483,52.8018,97,98,196,0,174882
2026-05-02 18:42:39,Mutex,Baseline,16,1024,2,1,5000000,5000000,200000,183526,15991.4,98,108848,174624,0,3802144,190.224,98,392,15769,0,661809
2026-05-02 18:42:39,MPSC,Try,16,1024,4,1,5000000,5000000,200000,1.62686e+07,423.805,196,1469,5778,0,571575,87.2692,98,196,294,0,694488
2026-05-02 18:42:39,MPSC,Blocking,16,1024,4,1,5000000,5000000,200000,2.06688e+07,344.296,294,686,1763,0,314092,64.1017,98,98,294,0,218013
2026-05-02 18:42:39,Mutex,Baseline,16,1024,4,1,5000000,5000000,200000,81296.5,66633,98,260292,2760125,0,22506728,201.572,98,294,27307,0,768668
2026-05-02 18:42:39,MPSC,Try,16,1024,8,1,5000000,5000000,200000,8.3381e+06,1803.5,686,4797,52282,0,17136247,183.821,98,294,881,0,9948847
2026-05-02 18:42:39,MPSC,Blocking,16,1024,8,1,5000000,5000000,200000,1.50494e+07,1000.59,881,2056,21637,0,1006966,76.8945,98,196,392,0,617300
2026-05-02 18:42:39,Mutex,Baseline,16,1024,8,1,5000000,5000000,200000,41192.5,312797,244913,875934,4773298,0,34562493,177.378,98,294,8703,0,767029
2026-05-02 18:42:39,MPSC,Try,16,4096,2,1,100000,100000,200000,3.133e+07,93.4518,98,196,1566,0,97912,41.6939,0,98,196,0,22030
2026-05-02 18:42:39,MPSC,Blocking,16,4096,2,1,100000,100000,200000,2.81823e+07,111.684,98,196,294,0,27415,46.2568,0,98,196,0,24184
2026-05-02 18:42:39,Mutex,Baseline,16,4096,2,1,100000,100000,200000,203819,14398.9,98,93114,197292,0,720044,172.093,0,391,26436,0,283847
2026-05-02 18:42:39,MPSC,Try,16,4096,4,1,100000,100000,200000,1.75771e+07,380.454,196,1272,9105,0,114851,78.3709,98,196,294,0,73728
2026-05-02 18:42:39,MPSC,Blocking,16,4096,4,1,100000,100000,200000,2.04492e+07,348.573,294,685,14491,0,42494,69.0139,98,195,196,0,33486
2026-05-02 18:42:39,Mutex,Baseline,16,4096,4,1,100000,100000,200000,85713.1,63090.8,100,235967,2731447,0,12219596,180.449,98,294,21933,0,223983
2026-05-02 18:42:39,MPSC,Try,16,4096,8,1,100000,100000,200000,1.50411e+07,819.226,398,2884,15118,0,83845,99.5977,99,199,398,0,67235
2026-05-02 18:42:39,MPSC,Blocking,16,4096,8,1,100000,100000,200000,2.1304e+07,616.615,497,1392,11538,0,104831,56.2461,99,100,298,0,15515
2026-05-02 18:42:39,Mutex,Baseline,16,4096,8,1,100000,100000,200000,51939.1,245347,139840,759040,3850138,0,15193381,148.961,93,278,7676,0,706877
2026-05-02 18:42:39,MPSC,Try,16,4096,2,1,1000000,1000000,200000,2.42631e+07,130.282,98,294,1664,0,86426,59.6496,98,98,196,0,59901
